Born After,Born Before,Date State Pension age reached,Age State Pension age reached,Female Only?
06/04/1950,05/05/1950,06/05/2010,,TRUE
06/05/1950,05/06/1950,06/07/2010,,TRUE
06/06/1950,05/07/1950,06/09/2010,,TRUE
06/07/1950,05/08/1950,06/11/2010,,TRUE
06/08/1950,05/09/1950,06/01/2011,,TRUE
06/09/1950,05/10/1950,06/03/2011,,TRUE
06/10/1950,05/11/1950,06/05/2011,,TRUE
06/11/1950,05/12/1950,06/07/2011,,TRUE
06/12/1950,05/01/1951,06/09/2011,,TRUE
06/01/1951,05/02/1951,06/11/2011,,TRUE
06/02/1951,05/03/1951,06/01/2012,,TRUE
06/03/1951,05/04/1951,06/03/2012,,TRUE
06/04/1951,05/05/1951,06/05/2012,,TRUE
06/05/1951,05/06/1951,06/07/2012,,TRUE
06/06/1951,05/07/1951,06/09/2012,,TRUE
06/07/1951,05/08/1951,06/11/2012,,TRUE
06/08/1951,05/09/1951,06/01/2013,,TRUE
06/09/1951,05/10/1951,06/03/2013,,TRUE
06/10/1951,05/11/1951,06/05/2013,,TRUE
06/11/1951,05/12/1951,06/07/2013,,TRUE
06/12/1951,05/01/1952,06/09/2013,,TRUE
06/01/1952,05/02/1952,06/11/2013,,TRUE
06/02/1952,05/03/1952,06/01/2014,,TRUE
06/03/1952,05/04/1952,06/03/2014,,TRUE
06/04/1952,05/05/1952,06/05/2014,,TRUE
06/05/1952,05/06/1952,06/07/2014,,TRUE
06/06/1952,05/07/1952,06/09/2014,,TRUE
06/07/1952,05/08/1952,06/11/2014,,TRUE
06/08/1952,05/09/1952,06/01/2015,,TRUE
06/09/1952,05/10/1952,06/03/2015,,TRUE
06/10/1952,05/11/1952,06/05/2015,,TRUE
06/11/1952,05/12/1952,06/07/2015,,TRUE
06/12/1952,05/01/1953,06/09/2015,,TRUE
06/01/1953,05/02/1953,06/11/2015,,TRUE
06/02/1953,05/03/1953,06/01/2016,,TRUE
06/03/1953,05/04/1953,06/03/2016,,TRUE
06/04/1953,05/05/1953,06/07/2016,,TRUE
06/05/1953,05/06/1953,06/11/2016,,TRUE
06/06/1953,05/07/1953,06/03/2017,,TRUE
06/07/1953,05/08/1953,06/07/2017,,TRUE
06/08/1953,05/09/1953,06/11/2017,,TRUE
06/09/1953,05/10/1953,06/03/2018,,TRUE
06/10/1953,05/11/1953,06/07/2018,,TRUE
06/11/1953,05/12/1953,06/11/2018,,TRUE
06/12/1953,05/01/1954,06/03/2019,,TRUE
06/01/1954,05/02/1954,06/05/2019,,
06/02/1954,05/03/1954,06/07/2019,,
06/03/1954,05/04/1954,06/09/2019,,
06/04/1954,05/05/1954,06/11/2019,,
06/05/1954,05/06/1954,06/01/2020,,
06/06/1954,05/07/1954,06/03/2020,,
06/07/1954,05/08/1954,06/05/2020,,
06/08/1954,05/09/1954,06/07/2020,,
06/09/1954,05/10/1954,06/09/2020,,
06/10/1954,05/04/1960,,66th birthday,
06/04/1960,05/05/1960,,66 years and 1 month,
06/05/1960,05/06/1960,,66 years and 2 months,
06/06/1960,05/07/1960,,66 years and 3 months,
06/07/1960,05/08/1960,,66 years and 4 months (1),
06/08/1960,05/09/1960,,66 years and 5 months,
06/09/1960,05/10/1960,,66 years and 6 months,
06/10/1960,05/11/1960,,66 years and 7 months,
06/11/1960,05/12/1960,,66 years and 8 months,
06/12/1960,05/01/1961,,66 years and 9 months (2),
06/01/1961,05/02/1961,,66 years and 10 months (3),
06/02/1961,05/03/1961,,66 years and 11 months,
06/03/1961,05/04/1977,,67,
06/04/1977,05/05/1977,06/05/1944,,
06/05/1977,05/06/1977,06/07/1944,,
06/06/1977,05/07/1977,06/09/1944,,
06/07/1977,05/08/1977,06/11/1944,,
06/08/1977,05/09/1977,06/01/1945,,
06/09/1977,05/10/1977,06/03/1945,,
06/10/1977,05/11/1977,06/05/1945,,
06/11/1977,05/12/1977,06/07/1945,,
06/12/1977,05/01/1978,06/09/1945,,
06/01/1978,05/02/1978,06/11/1945,,
06/02/1978,05/03/1978,06/01/1946,,
06/03/1978,05/04/1978,06/03/1946,,
06/04/1978,,,68th birthday,
